rally,ball_round,roundscore_A,roundscore_B,player,type,backhand,landing_area,player_location_area,opponent_location_area,getpoint_player,flaw,set,match_id,rally_id
1,1,1,0,Kento MOMOTA,發短球,1,7,8,8,,,1,1,0
1,2,1,0,CHOU Tien Chen,長球,1,10,8,8,A,,1,1,0
2,1,2,0,Kento MOMOTA,發短球,1,8,8,8,,,1,1,1
2,2,2,0,CHOU Tien Chen,推撲球,1,8,8,8,,,1,1,1
2,3,2,0,Kento MOMOTA,殺球,0,8,8,8,,,1,1,1
2,4,2,0,CHOU Tien Chen,接殺防守,1,7,8,8,,,1,1,1
2,5,2,0,Kento MOMOTA,推撲球,0,8,8,8,,,1,1,1
2,6,2,0,CHOU Tien Chen,平球,0,10,8,8,A,,1,1,1
3,1,2,1,Kento MOMOTA,發短球,1,8,8,8,,,1,1,2
3,2,2,1,CHOU Tien Chen,網前球,1,7,8,8,,,1,1,2
3,3,2,1,Kento MOMOTA,挑球,0,3,7,8,,,1,1,2
3,4,2,1,CHOU Tien Chen,殺球,0,8,9,8,,,1,1,2
3,5,2,1,Kento MOMOTA,接殺防守,1,7,8,9,,,1,1,2
3,6,2,1,CHOU Tien Chen,挑球,1,8,8,8,,,1,1,2
3,7,2,1,Kento MOMOTA,殺球,0,8,9,8,,,1,1,2
3,8,2,1,CHOU Tien Chen,接殺防守,0,7,8,8,,,1,1,2
3,9,2,1,Kento MOMOTA,網前球,0,2,8,8,,,1,1,2
3,10,2,1,CHOU Tien Chen,網前球,1,1,7,8,,,1,1,2
3,11,2,1,Kento MOMOTA,挑球,1,3,7,8,,,1,1,2
3,12,2,1,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,2
3,13,2,1,Kento MOMOTA,接殺防守,1,8,8,8,,,1,1,2
3,14,2,1,CHOU Tien Chen,挑球,1,8,8,8,,,1,1,2
3,15,2,1,Kento MOMOTA,切球,0,8,9,8,,,1,1,2
3,16,2,1,CHOU Tien Chen,平球,0,8,8,8,,,1,1,2
3,17,2,1,Kento MOMOTA,接殺防守,1,9,8,8,,,1,1,2
3,18,2,1,CHOU Tien Chen,長球,0,4,8,8,,,1,1,2
3,19,2,1,Kento MOMOTA,長球,0,9,9,8,,,1,1,2
3,20,2,1,CHOU Tien Chen,殺球,0,8,9,8,,,1,1,2
3,21,2,1,Kento MOMOTA,接殺防守,1,2,8,9,,,1,1,2
3,22,2,1,CHOU Tien Chen,挑球,1,4,8,8,,,1,1,2
3,23,2,1,Kento MOMOTA,長球,0,3,9,8,,,1,1,2
3,24,2,1,CHOU Tien Chen,殺球,0,8,5,8,,,1,1,2
3,25,2,1,Kento MOMOTA,接殺防守,0,5,8,3,,,1,1,2
3,26,2,1,CHOU Tien Chen,推撲球,0,9,8,8,,,1,1,2
3,27,2,1,Kento MOMOTA,切球,1,2,6,8,B,,1,1,2
4,1,3,1,CHOU Tien Chen,發短球,1,8,8,8,,,1,1,3
4,2,3,1,Kento MOMOTA,網前球,1,5,8,8,,,1,1,3
4,3,3,1,CHOU Tien Chen,網前球,0,2,7,8,,,1,1,3
4,4,3,1,Kento MOMOTA,網前球,0,1,2,8,,,1,1,3
4,5,3,1,CHOU Tien Chen,推撲球,0,8,7,8,,,1,1,3
4,6,3,1,Kento MOMOTA,接殺防守,1,8,8,1,A,,1,1,3
5,1,3,2,Kento MOMOTA,發短球,1,8,8,8,,,1,1,4
5,2,3,2,CHOU Tien Chen,推撲球,1,9,8,8,,,1,1,4
5,3,3,2,Kento MOMOTA,殺球,0,8,8,8,,,1,1,4
5,4,3,2,CHOU Tien Chen,接殺防守,0,8,8,8,,,1,1,4
5,5,3,2,Kento MOMOTA,殺球,0,8,8,8,,,1,1,4
5,6,3,2,CHOU Tien Chen,接殺防守,1,8,8,8,,,1,1,4
5,7,3,2,Kento MOMOTA,長球,0,3,9,8,,,1,1,4
5,8,3,2,CHOU Tien Chen,殺球,0,8,5,8,,,1,1,4
5,9,3,2,Kento MOMOTA,接殺防守,0,8,8,5,,,1,1,4
5,10,3,2,CHOU Tien Chen,挑球,0,9,8,8,,,1,1,4
5,11,3,2,Kento MOMOTA,長球,0,9,9,8,,,1,1,4
5,12,3,2,CHOU Tien Chen,切球,1,8,8,8,,,1,1,4
5,13,3,2,Kento MOMOTA,推撲球,1,6,8,8,,,1,1,4
5,14,3,2,CHOU Tien Chen,殺球,0,8,9,8,,,1,1,4
5,15,3,2,Kento MOMOTA,接殺防守,0,7,8,6,,,1,1,4
5,16,3,2,CHOU Tien Chen,推撲球,0,4,7,8,B,,1,1,4
6,1,4,2,CHOU Tien Chen,發長球,1,8,8,8,,,1,1,5
6,2,4,2,Kento MOMOTA,殺球,0,8,9,8,,,1,1,5
6,3,4,2,CHOU Tien Chen,接殺防守,1,5,8,8,,,1,1,5
6,4,4,2,Kento MOMOTA,殺球,0,6,9,8,,,1,1,5
6,5,4,2,CHOU Tien Chen,網前球,1,2,8,8,A,,1,1,5
7,1,5,2,Kento MOMOTA,發短球,1,8,8,8,,,1,1,6
7,2,5,2,CHOU Tien Chen,推撲球,1,9,8,8,,,1,1,6
7,3,5,2,Kento MOMOTA,切球,0,8,4,8,,,1,1,6
7,4,5,2,CHOU Tien Chen,切球,0,10,8,8,A,,1,1,6
8,1,6,2,Kento MOMOTA,發短球,1,8,8,8,,,1,1,7
8,2,6,2,CHOU Tien Chen,平球,1,8,8,8,,,1,1,7
8,3,6,2,Kento MOMOTA,平球,0,8,8,8,,,1,1,7
8,4,6,2,CHOU Tien Chen,平球,0,8,8,8,,,1,1,7
8,5,6,2,Kento MOMOTA,接殺防守,1,8,8,8,,,1,1,7
8,6,6,2,CHOU Tien Chen,推撲球,1,10,8,8,A,,1,1,7
9,1,6,3,Kento MOMOTA,發短球,1,8,8,8,,,1,1,8
9,2,6,3,CHOU Tien Chen,網前球,1,7,8,8,,,1,1,8
9,3,6,3,Kento MOMOTA,網前球,1,8,7,8,,,1,1,8
9,4,6,3,CHOU Tien Chen,挑球,0,8,7,8,,,1,1,8
9,5,6,3,Kento MOMOTA,切球,0,8,9,8,,,1,1,8
9,6,6,3,CHOU Tien Chen,接殺防守,0,7,8,8,,,1,1,8
9,7,6,3,Kento MOMOTA,挑球,1,3,8,8,,,1,1,8
9,8,6,3,CHOU Tien Chen,長球,0,8,9,8,,,1,1,8
9,9,6,3,Kento MOMOTA,殺球,0,5,4,8,,,1,1,8
9,10,6,3,CHOU Tien Chen,接殺防守,0,7,8,8,,,1,1,8
9,11,6,3,Kento MOMOTA,挑球,0,9,8,8,,,1,1,8
9,12,6,3,CHOU Tien Chen,長球,0,8,9,8,,,1,1,8
9,13,6,3,Kento MOMOTA,切球,0,8,9,8,,,1,1,8
9,14,6,3,CHOU Tien Chen,挑球,0,8,8,8,,,1,1,8
9,15,6,3,Kento MOMOTA,切球,0,5,8,8,,,1,1,8
9,16,6,3,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,8
9,17,6,3,Kento MOMOTA,挑球,1,3,8,8,,,1,1,8
9,18,6,3,CHOU Tien Chen,長球,0,6,9,8,,,1,1,8
9,19,6,3,Kento MOMOTA,切球,0,5,4,8,,,1,1,8
9,20,6,3,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,8
9,21,6,3,Kento MOMOTA,挑球,0,5,8,8,,,1,1,8
9,22,6,3,CHOU Tien Chen,殺球,0,5,9,8,B,,1,1,8
10,1,7,3,CHOU Tien Chen,發短球,1,8,8,8,,,1,1,9
10,2,7,3,Kento MOMOTA,挑球,1,5,8,8,,,1,1,9
10,3,7,3,CHOU Tien Chen,切球,0,7,9,8,,,1,1,9
10,4,7,3,Kento MOMOTA,網前球,1,8,8,8,,,1,1,9
10,5,7,3,CHOU Tien Chen,推撲球,1,8,8,8,,,1,1,9
10,6,7,3,Kento MOMOTA,切球,1,8,5,8,,,1,1,9
10,7,7,3,CHOU Tien Chen,平球,1,8,8,8,,,1,1,9
10,8,7,3,Kento MOMOTA,接殺防守,0,8,8,8,,,1,1,9
10,9,7,3,CHOU Tien Chen,網前球,0,7,8,8,A,,1,1,9
11,1,7,4,Kento MOMOTA,發短球,1,8,8,8,,,1,1,10
11,2,7,4,CHOU Tien Chen,推撲球,1,8,8,8,,,1,1,10
11,3,7,4,Kento MOMOTA,切球,0,8,9,8,,,1,1,10
11,4,7,4,CHOU Tien Chen,接殺防守,0,8,8,8,,,1,1,10
11,5,7,4,Kento MOMOTA,網前球,0,5,8,8,,,1,1,10
11,6,7,4,CHOU Tien Chen,網前球,0,2,7,8,,,1,1,10
11,7,7,4,Kento MOMOTA,挑球,0,3,7,8,,,1,1,10
11,8,7,4,CHOU Tien Chen,長球,0,3,3,8,,,1,1,10
11,9,7,4,Kento MOMOTA,切球,0,5,9,8,,,1,1,10
11,10,7,4,CHOU Tien Chen,推撲球,0,4,8,8,,,1,1,10
11,11,7,4,Kento MOMOTA,切球,0,5,4,8,,,1,1,10
11,12,7,4,CHOU Tien Chen,接殺防守,0,2,8,8,,,1,1,10
11,13,7,4,Kento MOMOTA,網前球,0,8,6,8,,,1,1,10
11,14,7,4,CHOU Tien Chen,推撲球,0,8,7,8,,,1,1,10
11,15,7,4,Kento MOMOTA,切球,0,8,8,8,,,1,1,10
11,16,7,4,CHOU Tien Chen,平球,0,8,8,8,,,1,1,10
11,17,7,4,Kento MOMOTA,接殺防守,1,7,8,8,,,1,1,10
11,18,7,4,CHOU Tien Chen,推撲球,1,9,8,8,,,1,1,10
11,19,7,4,Kento MOMOTA,長球,0,9,4,8,,,1,1,10
11,20,7,4,CHOU Tien Chen,長球,0,8,8,8,,,1,1,10
11,21,7,4,Kento MOMOTA,殺球,0,8,3,8,,,1,1,10
11,22,7,4,CHOU Tien Chen,網前球,1,7,8,8,,,1,1,10
11,23,7,4,Kento MOMOTA,接殺防守,0,8,8,8,,,1,1,10
11,24,7,4,CHOU Tien Chen,挑球,1,6,8,8,,,1,1,10
11,25,7,4,Kento MOMOTA,長球,0,3,9,8,,,1,1,10
11,26,7,4,CHOU Tien Chen,長球,0,6,8,8,,,1,1,10
11,27,7,4,Kento MOMOTA,切球,0,5,9,8,,,1,1,10
11,28,7,4,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,10
11,29,7,4,Kento MOMOTA,挑球,0,9,7,8,,,1,1,10
11,30,7,4,CHOU Tien Chen,長球,0,6,9,8,,,1,1,10
11,31,7,4,Kento MOMOTA,長球,0,5,8,8,,,1,1,10
11,32,7,4,CHOU Tien Chen,殺球,0,8,3,8,,,1,1,10
11,33,7,4,Kento MOMOTA,接殺防守,1,8,8,9,,,1,1,10
11,34,7,4,CHOU Tien Chen,挑球,1,4,8,8,,,1,1,10
11,35,7,4,Kento MOMOTA,長球,0,3,9,8,,,1,1,10
11,36,7,4,CHOU Tien Chen,長球,0,4,5,8,,,1,1,10
11,37,7,4,Kento MOMOTA,長球,0,5,4,8,,,1,1,10
11,38,7,4,CHOU Tien Chen,長球,0,4,9,8,,,1,1,10
11,39,7,4,Kento MOMOTA,長球,0,3,9,8,,,1,1,10
11,40,7,4,CHOU Tien Chen,長球,0,4,9,8,,,1,1,10
11,41,7,4,Kento MOMOTA,切球,0,10,9,8,B,,1,1,10
12,1,7,5,CHOU Tien Chen,發短球,1,7,8,8,,,1,1,11
12,2,7,5,Kento MOMOTA,挑球,1,3,8,8,,,1,1,11
12,3,7,5,CHOU Tien Chen,長球,0,8,8,8,,,1,1,11
12,4,7,5,Kento MOMOTA,殺球,0,8,9,8,,,1,1,11
12,5,7,5,CHOU Tien Chen,接殺防守,0,7,8,8,,,1,1,11
12,6,7,5,Kento MOMOTA,挑球,0,9,8,8,,,1,1,11
12,7,7,5,CHOU Tien Chen,長球,1,9,8,8,,,1,1,11
12,8,7,5,Kento MOMOTA,平球,0,8,8,8,,,1,1,11
12,9,7,5,CHOU Tien Chen,平球,0,8,8,8,,,1,1,11
12,10,7,5,Kento MOMOTA,接殺防守,1,8,8,8,,,1,1,11
12,11,7,5,CHOU Tien Chen,挑球,1,8,8,8,,,1,1,11
12,12,7,5,Kento MOMOTA,切球,0,6,9,8,,,1,1,11
12,13,7,5,CHOU Tien Chen,網前球,1,7,8,8,,,1,1,11
12,14,7,5,Kento MOMOTA,挑球,1,3,7,8,,,1,1,11
12,15,7,5,CHOU Tien Chen,長球,0,4,9,8,,,1,1,11
12,16,7,5,Kento MOMOTA,長球,0,9,4,8,,,1,1,11
12,17,7,5,CHOU Tien Chen,殺球,0,8,6,8,,,1,1,11
12,18,7,5,Kento MOMOTA,網前球,1,7,8,8,,,1,1,11
12,19,7,5,CHOU Tien Chen,推撲球,0,4,8,8,,,1,1,11
12,20,7,5,Kento MOMOTA,長球,0,3,9,8,,,1,1,11
12,21,7,5,CHOU Tien Chen,長球,0,3,5,8,,,1,1,11
12,22,7,5,Kento MOMOTA,長球,0,4,9,8,,,1,1,11
12,23,7,5,CHOU Tien Chen,殺球,0,8,6,8,,,1,1,11
12,24,7,5,Kento MOMOTA,網前球,1,7,8,4,,,1,1,11
12,25,7,5,CHOU Tien Chen,推撲球,0,8,8,8,,,1,1,11
12,26,7,5,Kento MOMOTA,切球,0,2,9,8,,,1,1,11
12,27,7,5,CHOU Tien Chen,推撲球,1,3,8,8,,,1,1,11
12,28,7,5,Kento MOMOTA,切球,1,6,8,8,,,1,1,11
12,29,7,5,CHOU Tien Chen,推撲球,1,4,8,8,,,1,1,11
12,30,7,5,Kento MOMOTA,切球,0,5,8,8,,,1,1,11
12,31,7,5,CHOU Tien Chen,推撲球,0,9,8,8,,,1,1,11
12,32,7,5,Kento MOMOTA,切球,0,7,8,8,,,1,1,11
12,33,7,5,CHOU Tien Chen,推撲球,1,4,8,8,,,1,1,11
12,34,7,5,Kento MOMOTA,切球,0,10,8,8,B,,1,1,11
13,1,7,6,CHOU Tien Chen,發短球,1,7,8,8,,,1,1,12
13,2,7,6,Kento MOMOTA,推撲球,0,9,8,8,,,1,1,12
13,3,7,6,CHOU Tien Chen,長球,1,8,8,8,,,1,1,12
13,4,7,6,Kento MOMOTA,切球,0,8,9,8,,,1,1,12
