rally,ball_round,roundscore_A,roundscore_B,player,type,backhand,location,strength,spin,set,match_id,rally_id
1,1,0,0,林昀儒,0,1,9,1,4,1,1,0
1,2,0,0,張本智和,1,2,9,2,1,1,1,0
1,3,0,1,林昀儒,5,2,1,2,1,1,1,0
2,1,0,1,林昀儒,0,1,5,3,5,1,1,1
2,2,0,1,張本智和,10,1,9,2,2,1,1,1
2,3,0,1,林昀儒,1,1,7,2,1,1,1,1
2,4,1,1,張本智和,2,1,1,2,1,1,1,1
3,1,1,1,張本智和,0,1,5,2,5,1,1,2
3,2,1,1,林昀儒,4,2,8,2,1,1,1,2
3,3,1,1,張本智和,6,2,9,1,3,1,1,2
3,4,1,2,林昀儒,5,2,1,2,1,1,1,2
4,1,1,2,張本智和,0,1,4,2,5,1,1,3
4,2,1,2,林昀儒,4,2,8,2,1,1,1,3
4,3,1,2,張本智和,6,2,7,1,3,1,1,3
4,4,1,3,林昀儒,0,1,1,0,0,1,1,3
5,1,1,3,林昀儒,0,1,2,2,5,1,1,4
5,2,2,3,張本智和,10,1,1,2,2,1,1,4
6,1,2,3,林昀儒,0,1,9,1,4,1,1,5
6,2,3,3,張本智和,1,2,1,1,1,1,1,5
7,1,3,3,張本智和,0,1,4,2,5,1,1,6
7,2,3,3,林昀儒,1,1,9,3,1,1,1,6
7,3,4,3,張本智和,6,2,1,1,3,1,1,6
8,1,4,3,張本智和,0,1,6,2,5,1,1,7
8,2,4,3,林昀儒,11,2,4,3,3,1,1,7
8,3,5,3,張本智和,1,1,1,1,1,1,1,7
9,1,5,3,林昀儒,0,1,4,3,2,1,1,8
9,2,5,3,張本智和,4,2,9,1,1,1,1,8
9,3,5,3,林昀儒,5,2,7,2,1,1,1,8
9,4,5,3,張本智和,2,1,8,2,1,1,1,8
9,5,5,3,林昀儒,2,1,9,1,1,1,1,8
9,6,6,3,張本智和,13,2,1,3,0,1,1,8
10,1,6,3,林昀儒,0,1,4,2,4,1,1,9
10,2,6,3,張本智和,11,1,1,3,3,1,1,9
10,3,6,3,林昀儒,11,1,5,3,3,1,1,9
10,4,6,3,張本智和,6,2,9,1,3,1,1,9
10,5,6,4,林昀儒,14,2,1,3,1,1,1,9
11,1,6,4,張本智和,0,1,9,1,4,1,1,10
11,2,6,5,林昀儒,6,2,1,1,3,1,1,10
12,1,6,5,張本智和,0,1,2,2,5,1,1,11
12,2,6,5,林昀儒,4,2,7,1,1,1,1,11
12,3,6,5,張本智和,2,1,8,2,1,1,1,11
12,4,6,6,林昀儒,2,1,1,1,1,1,1,11
13,1,6,6,林昀儒,0,1,9,1,4,1,1,12
13,2,6,6,張本智和,12,2,8,3,2,1,1,12
13,3,6,6,林昀儒,1,1,9,2,1,1,1,12
13,4,7,6,張本智和,5,2,1,1,1,1,1,12
14,1,7,6,林昀儒,0,1,5,2,4,1,1,13
14,2,7,6,張本智和,1,1,8,1,1,1,1,13
14,3,7,7,林昀儒,1,1,1,1,1,1,1,13
15,1,7,7,張本智和,0,1,5,2,5,1,1,14
15,2,7,7,林昀儒,4,2,9,2,1,1,1,14
15,3,7,7,張本智和,6,2,8,3,3,1,1,14
15,4,7,7,林昀儒,1,1,8,1,1,1,1,14
